Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,Month,Year
2000,Total,Total,580,720,920,730,7157,12.5,-6.49,-37.55,-0.13999999999999999,12,2017
2000,Total,Bedsitter,450,505,550,,160,7.449999999999999,8.6,-13.33,116.67,12,2017
2000,Total,1 Bedroom,522.5,625,720,399,2934,9.65,-6.72,-48.05,21.279999999999998,12,2017
2000,Total,Not Specified,567.5,627.5,820,40,888,2.87,0.4,-33.33,-57.45,12,2017
2000,Total,2 Bedrooms,846.25,930,1050,222,2753,-2.11,3.3300000000000005,-15.590000000000002,-13.62,12,2017
2000,Total,3 Bedrooms,1150,1250,1725,35,382,-7.41,4.17,-14.63,-2.78,12,2017
2000,Total,4 or more Bedrooms,,,,,40,,,,,12,2017
2000,House,Total,795,900,1600,,54,-10.0,-40.0,18.75,375.0,12,2017
2000,House,1 Bedroom,,,,,,,,,,12,2017
2000,House,Not Specified,,,,,,,,,,12,2017
2000,House,2 Bedrooms,,,,,,,,,,12,2017
2000,House,3 Bedrooms,,,,,,,,,,12,2017
2000,House,4 or more Bedrooms,,,,,,,,,,12,2017
2000,Other,Total,389,499,720,161,1343,9.91,-36.84,-66.39,114.67,12,2017
2000,Other,Bedsitter,,,,,,,,,,12,2017
2000,Other,1 Bedroom,369,469,579,121,664,3.3000000000000003,-24.66,-71.99,656.25,12,2017
2000,Other,Not Specified,567.5,610,839.25,,401,-12.86,-31.46,-12.5,-58.81999999999999,12,2017
2000,Other,2 Bedrooms,907.5,1150,1300,,218,21.05,31.430000000000003,10.0,0,12,2017
2000,Other,3 Bedrooms,,,,,33,,,,,12,2017
2000,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2000,Townhouse,Total,,,,,87,,,,,12,2017
2000,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2000,Townhouse,Not Specified,,,,,,,,,,12,2017
2000,Townhouse,2 Bedrooms,,,,,,,,,,12,2017
